onset	duration	miniblock_number	category	subcategory	stim_file
8.654699195176363e-05	0.44553783803712577	1	faces	adult	adult/adult-16.jpg
0.5618556629633531	0.43245990097057074	1	faces	adult	adult/adult-142.jpg
1.0952759430510923	0.4336270960047841	1	faces	adult	adult/adult-16.jpg
1.6453072719741613	0.4342297640396282	1	faces	adult	adult/adult-64.jpg
2.1960666860686615	0.43372204003389925	1	faces	adult	adult/adult-10.jpg
2.7452854110160843	0.43482690991368145	1	faces	adult	adult/adult-105.jpg
3.296776680042967	0.43377997598145157	1	faces	adult	adult/adult-22.jpg
3.8454124620184302	0.43545253900811076	1	faces	adult	adult/adult-117.jpg
4.396924688015133	0.43914272205438465	1	faces	adult	adult/adult-103.jpg
4.952326857019216	0.45089226798154414	1	faces	adult	adult/adult-130.jpg
5.51963620306924	0.43274984299205244	1	faces	adult	adult/adult-118.jpg
6.0689973660046235	0.4338859129929915	1	faces	adult	adult/adult-121.jpg
6.603149913018569	0.44932413089554757	2	objects	car	car/car-107.jpg
7.168749443022534	0.4325676769949496	2	objects	car	car/car-130.jpg
7.701762665063143	0.4340396060142666	2	objects	car	car/car-90.jpg
8.235961916972883	0.43273121502716094	2	objects	car	car/car-126.jpg
8.78551413002424	0.4341693149181083	2	objects	car	car/car-73.jpg
9.321644589072093	0.44764955702703446	2	objects	car	car/car-135.jpg
9.870115487021394	0.4382029400439933	2	objects	car	car/car-33.jpg
10.408710504998453	0.4377057369565591	2	objects	car	car/car-13.jpg
10.946842276025563	0.44316995795816183	2	objects	car	car/car-137.jpg
11.492240312043577	0.4327054509194568	2	objects	car	car/car-137.jpg
12.025947257992812	0.4346365910023451	2	objects	car	car/car-53.jpg
12.56256766000297	0.4324286869959906	2	objects	car	car/car-33.jpg
13.095717290998437	0.4342829840024933	3	characters	word	word/word-48.jpg
13.630424146074802	0.43461454496718943	3	characters	word	word/word-107.jpg
14.16696556005627	0.43531349196564406	3	characters	word	word/word-36.jpg
14.71346702601295	0.4525625930400565	3	characters	word	word/word-70.jpg
15.266855341964401	0.4526748869102448	3	characters	word	word/word-53.jpg
15.821992847020738	0.4495739790145308	3	characters	word	word/word-23.jpg
16.372968006064184	0.4338939489098266	3	characters	word	word/word-108.jpg
16.909783423994668	0.4614007760537788	3	characters	word	word/word-117.jpg
17.471613336005248	0.4515625819331035	3	characters	word	word/word-38.jpg
18.025375977973454	0.4361944160191342	3	characters	word	word/word-46.jpg
18.562240243074484	0.4610076450044289	3	characters	word	word/word-77.jpg
19.125307247042656	0.4351513159926981	3	characters	word	word/word-104.jpg
19.661366006010212	0.43656752503011376	4	places	house	house/house-8.jpg
20.200126396026462	0.43600661493837833	4	places	house	house/house-114.jpg
20.736909687053412	0.4323787859175354	4	places	house	house/house-131.jpg
21.269541969988495	0.43337013700511307	4	places	house	house/house-142.jpg
21.803912653005682	0.43231762398499995	4	places	house	house/house-64.jpg
22.337533095967956	0.43036656198091805	4	places	house	house/house-137.jpg
22.869970081024803	0.4313839159440249	4	places	house	house/house-118.jpg
23.401814233046025	0.43506828392855823	4	places	house	house/house-124.jpg
23.93879164196551	0.4361338400049135	4	places	house	house/house-125.jpg
24.475574788986705	0.43359339400194585	4	places	house	house/house-137.jpg
25.009798787999898	0.43167502898722887	4	places	house	house/house-129.jpg
25.542366195004433	0.4322672189446166	4	places	house	house/house-85.jpg
26.07584725203924	0.43187506299000233	5	bodies	body	body/body-6.jpg
26.608145149075426	0.43306275305803865	5	bodies	body	body/body-49.jpg
27.141323907999322	0.4296088609844446	5	bodies	body	body/body-8.jpg
27.671759888064116	0.4293770430376753	5	bodies	body	body/body-76.jpg
28.20210708200466	0.43720049306284636	5	bodies	body	body/body-71.jpg
28.739792988053523	0.436157681979239	5	bodies	body	body/body-105.jpg
29.278424001997337	0.4320084300125018	5	bodies	body	body/body-93.jpg
29.81370016396977	0.4349717400036752	5	bodies	body	body/body-139.jpg
30.350510198040865	0.43129577802028507	5	bodies	body	body/body-142.jpg
30.882309196982533	0.4339397270232439	5	bodies	body	body/body-127.jpg
31.417854839004576	0.4310881309211254	5	bodies	body	body/body-60.jpg
31.95101922797039	0.4329291209578514	5	bodies	body	body/body-69.jpg
32.485757317976095	0.442192462971434	6	faces	adult	adult/adult-92.jpg
33.030024052015506	0.43394919706042856	6	faces	adult	adult/adult-80.jpg
33.56552200799342	0.43118387006688863	6	faces	adult	adult/adult-79.jpg
34.097640836960636	0.42890015395823866	6	faces	adult	adult/adult-133.jpg
34.62857249705121	0.43553668400272727	6	faces	adult	adult/adult-114.jpg
35.165770623018034	0.4340576729737222	6	faces	adult	adult/adult-23.jpg
35.700774817029014	0.42825756792444736	6	faces	adult	adult/adult-13.jpg
36.23050629498903	0.42832450405694544	6	faces	adult	adult/adult-16.jpg
36.75900753005408	0.43013088195584714	6	faces	adult	adult/adult-39.jpg
37.28952993499115	0.4312388049438596	6	faces	adult	adult/adult-106.jpg
37.82241049001459	0.433907130965963	6	faces	adult	adult/adult-101.jpg
38.357049865997396	0.4322497610701248	6	faces	adult	adult/adult-102.jpg
38.891622595023364	0.43191908206790686	7	objects	car	car/car-131.jpg
39.425373818026856	0.4420902320416644	7	objects	car	car/car-5.jpg
39.96852384600788	0.43462227704003453	7	objects	car	car/car-109.jpg
40.50364488305058	0.4286700349766761	7	objects	car	car/car-2.jpg
41.03249495103955	0.4387746270513162	7	objects	car	car/car-83.jpg
41.5719206869835	0.4295437110122293	7	objects	car	car/car-74.jpg
42.10198630497325	0.4313343199901283	7	objects	car	car/car-87.jpg
